Gene_ID,C1,C2,H2,H3,external_gene_name
ENSG00000134138,4.398995776,4.398995776,4.398995776,4.759218087,MEIS2
ENSG00000134146,7.602281611,7.624063024,6.291219928,6.845599776,DPH6
ENSG00000134152,8.720774202,8.956229916,7.813146764,8.215251678,KATNBL1
ENSG00000134153,8.902261326,9.008673801,9.826117625,9.472834052,EMC7
ENSG00000134183,4.398995776,4.905023648,4.646792922,4.398995776,GNAT2
ENSG00000134184,8.360120824,8.347762901,4.398995776,9.922641675,GSTM1
ENSG00000134186,11.47172764,11.55994967,9.936846624,10.72278797,PRPF38B
ENSG00000134193,5.767948837,5.355334123,5.809886425,5.683162081,REG4
ENSG00000134198,8.001499445,8.378526814,7.398414999,7.50682323,TSPAN2
ENSG00000134201,5.27719126,6.328415779,4.398995776,5.589664031,GSTM5
ENSG00000134202,6.677226824,7.850612727,7.664256172,7.957923565,GSTM3
ENSG00000134207,5.17189489,4.905023648,4.646792922,4.907120989,SYT6
ENSG00000134215,9.533544949,9.886318041,8.421569143,8.758827513,VAV3
ENSG00000134222,7.727052158,7.452343223,7.013699189,6.738464906,PSRC1
ENSG00000134242,9.741326645,9.955296024,8.862686259,9.779065835,PTPN22
ENSG00000134243,10.61134802,10.66846015,9.825125096,9.753865894,SORT1
ENSG00000134245,6.582614164,6.705434429,5.732399444,6.119056772,WNT2B
ENSG00000134247,6.782510636,6.573039048,6.214538553,5.748065454,PTGFRN
ENSG00000134248,9.737136907,9.829210496,10.45525731,10.25873737,LAMTOR5
ENSG00000134250,13.10771188,13.11621313,12.65869791,12.59234563,NOTCH2
ENSG00000134253,5.42653695,5.543377768,5.401645339,5.23427294,TRIM45
ENSG00000134255,9.717067571,9.68643966,8.057391454,8.697969301,CEPT1
ENSG00000134256,9.324573543,9.159844459,9.878723829,9.684815055,CD101
ENSG00000134262,9.568162876,9.653914553,8.934492333,8.875349862,AP4B1
ENSG00000134265,8.881503284,9.481035166,8.367869968,8.570434608,NAPG
ENSG00000134278,7.162607264,7.346123133,7.206987902,7.10991407,SPIRE1
ENSG00000134283,9.913636714,10.08523702,9.671241428,9.757177943,PPHLN1
ENSG00000134285,9.409991801,9.326432646,10.82241948,10.26495344,FKBP11
ENSG00000134287,11.6837513,12.11196042,12.36685007,12.2207937,ARF3
ENSG00000134291,8.633116277,8.679392749,8.917807029,8.758827513,TMEM106C
ENSG00000134294,11.43018104,11.64981972,9.331425217,10.3159871,SLC38A2
ENSG00000134297,6.491192624,6.045466245,5.771845488,5.683162081,PLEKHA8P1
ENSG00000134308,11.19243959,11.62926565,11.51557702,11.50995868,YWHAQ
ENSG00000134313,11.21406942,11.40068432,9.618358391,10.2757675,KIDINS220
ENSG00000134317,6.273724851,7.105756359,5.691413212,6.119056772,GRHL1
ENSG00000134318,9.430901812,9.224595511,7.910665844,8.871274201,ROCK2
ENSG00000134321,9.785613343,8.456270452,8.429453071,8.452466364,RSAD2
ENSG00000134323,5.243707925,5.355334123,4.827147859,4.966374418,MYCN
ENSG00000134324,10.3423555,10.59371013,9.914624664,9.451178036,LPIN1
ENSG00000134326,9.895895109,8.853446694,8.936334356,9.470144792,CMPK2
ENSG00000134330,8.534919675,8.904439223,9.386315673,9.113012004,IAH1
ENSG00000134339,4.398995776,4.398995776,5.049877443,4.398995776,SAA2
